"bmicat","gawk","mu","sigma","nu","tau","P1","P2.3","P3","P5","P10","P16","P20","P25","P50","P75","P80","P84","P90","P95","P97","P97.7","P99"
"overweight",38,11.0753,5.2816,1.3252,32.8055,0.41,1.82,2.3,3.28,4.78,5.98,6.63,7.35,10.59,14.37,15.37,16.31,18.1,20.46,22.04,22.82,25.14
"overweight",39,11.471,5.4137,1.3253,38.4288,0.56,1.98,2.47,3.47,5,6.23,6.9,7.64,10.97,14.87,15.89,16.85,18.68,21.09,22.69,23.49,25.84
"overweight",40,11.8632,5.5502,1.3253,45.0818,0.68,2.13,2.63,3.65,5.22,6.48,7.17,7.93,11.36,15.36,16.41,17.39,19.27,21.72,23.36,24.16,26.54
"overweight",41,12.2529,5.691,1.3252,52.9524,0.8,2.27,2.78,3.82,5.43,6.73,7.43,8.22,11.74,15.84,16.92,17.93,19.85,22.36,24.03,24.85,27.27
"obesity",8,0.7548,3.494,1.3999,2.1571,-2.93,-1.91,-1.65,-1.22,-0.75,-0.46,-0.32,-0.18,0.42,1.26,1.53,1.81,2.46,3.63,4.73,5.39,8.07
"obesity",9,0.7902,3.5214,1.3791,2.1797,-3.22,-2.11,-1.82,-1.35,-0.83,-0.51,-0.36,-0.21,0.45,1.34,1.63,1.93,2.62,3.86,5.01,5.71,8.5
"obesity",10,0.8316,3.5496,1.3583,2.2058,-3.54,-2.32,-2.01,-1.49,-0.91,-0.56,-0.4,-0.23,0.49,1.44,1.75,2.07,2.8,4.1,5.31,6.04,8.95
"obesity",11,0.8851,3.5788,1.3375,2.2363,-3.86,-2.53,-2.19,-1.63,-0.99,-0.6,-0.42,-0.24,0.53,1.56,1.88,2.22,2.99,4.36,5.62,6.39,9.42
"obesity",12,0.9574,3.6093,1.3167,2.2722,-4.2,-2.75,-2.38,-1.76,-1.06,-0.64,-0.44,-0.23,0.6,1.7,2.04,2.4,3.22,4.66,5.97,6.77,9.9
"obesity",13,1.0568,3.6411,1.2959,2.3146,-4.53,-2.96,-2.56,-1.88,-1.11,-0.65,-0.43,-0.21,0.7,1.87,2.24,2.62,3.48,4.99,6.35,7.18,10.41
"obesity",14,1.1921,3.6745,1.2754,2.3646,-4.84,-3.16,-2.72,-1.98,-1.14,-0.63,-0.39,-0.15,0.84,2.09,2.48,2.88,3.79,5.36,6.78,7.63,10.94
"obesity",15,1.3714,3.7095,1.2554,2.4236,-5.13,-3.32,-2.85,-2.05,-1.13,-0.58,-0.31,-0.04,1.02,2.36,2.77,3.2,4.15,5.78,7.24,8.12,11.49
"obesity",16,1.5951,3.7462,1.236,2.4932,-5.37,-3.45,-2.94,-2.08,-1.09,-0.48,-0.2,0.1,1.26,2.68,3.12,3.56,4.55,6.25,7.75,8.64,12.06
"obesity",17,1.8572,3.7849,1.2177,2.575,-5.57,-3.54,-3.01,-2.09,-1.02,-0.35,-0.04,0.28,1.53,3.04,3.5,3.97,5.01,6.75,8.29,9.19,12.64
"obesity",18,2.1519,3.8256,1.2008,2.6709,-5.71,-3.6,-3.03,-2.06,-0.91,-0.2,0.14,0.49,1.83,3.44,3.93,4.42,5.49,7.29,8.85,9.76,13.21
"obesity",19,2.4731,3.8686,1.1855,2.7829,-5.81,-3.62,-3.03,-2,-0.78,-0.02,0.35,0.72,2.17,3.87,4.38,4.89,6.01,7.84,9.42,10.34,13.76
"obesity",20,2.8152,3.9138,1.172,2.9127,-5.85,-3.6,-2.99,-1.92,-0.63,0.19,0.57,0.97,2.52,4.32,4.86,5.39,6.54,8.41,10,10.92,14.31
"obesity",21,3.1725,3.9612,1.1603,3.0619,-5.83,-3.55,-2.92,-1.81,-0.46,0.4,0.82,1.24,2.89,4.79,5.34,5.9,7.08,8.99,10.58,11.5,14.83
"obesity",22,3.5396,4.0108,1.1506,3.232,-5.76,-3.46,-2.82,-1.68,-0.28,0.63,1.07,1.52,3.27,5.27,5.84,6.41,7.63,9.56,11.16,12.06,15.33
"obesity",23,3.9128,4.0626,1.1429,3.4241,-5.64,-3.34,-2.69,-1.53,-0.08,0.87,1.33,1.81,3.66,5.74,6.34,6.93,8.18,10.14,11.73,12.62,15.81
"obesity",24,4.2892,4.1166,1.1369,3.6392,-5.48,-3.2,-2.54,-1.36,0.12,1.11,1.59,2.09,4.04,6.22,6.84,7.45,8.73,10.7,12.29,13.17,16.29
"obesity",25,4.6657,4.1729,1.1327,3.8775,-5.29,-3.03,-2.37,-1.18,0.34,1.36,1.86,2.38,4.42,6.7,7.34,7.96,9.27,11.26,12.84,13.71,16.75
"obesity",26,5.0407,4.2316,1.13,4.1399,-5.07,-2.84,-2.19,-0.99,0.56,1.61,2.13,2.67,4.8,7.16,7.82,8.47,9.8,11.81,13.38,14.24,17.21
"obesity",27,5.4138,4.2932,1.1288,4.4279,-4.84,-2.64,-1.99,-0.79,0.78,1.86,2.4,2.96,5.18,7.63,8.31,8.97,10.33,12.35,13.92,14.77,17.67
"obesity",28,5.7845,4.358,1.1289,4.7436,-4.59,-2.43,-1.79,-0.59,1.01,2.11,2.67,3.25,5.55,8.09,8.79,9.46,10.85,12.89,14.45,15.3,18.14
"obesity",29,6.1526,4.4266,1.13,5.0896,-4.34,-2.22,-1.58,-0.38,1.24,2.37,2.93,3.53,5.91,8.54,9.26,9.95,11.36,13.43,14.98,15.82,18.61
"obesity",30,6.5182,4.4993,1.1321,5.4693,-4.1,-2.01,-1.37,-0.17,1.46,2.61,3.2,3.81,6.28,8.99,9.73,10.44,11.88,13.96,15.52,16.35,19.09
"obesity",31,6.8816,4.5766,1.135,5.8873,-3.85,-1.8,-1.16,0.04,1.69,2.86,3.46,4.09,6.63,9.44,10.2,10.93,12.4,14.5,16.06,16.89,19.59
"obesity",32,7.243,4.659,1.1386,6.3493,-3.61,-1.59,-0.96,0.24,1.91,3.1,3.71,4.36,6.99,9.88,10.67,11.41,12.91,15.04,16.6,17.43,20.09
"obesity",33,7.6014,4.7467,1.1426,6.8618,-3.38,-1.39,-0.76,0.44,2.12,3.34,3.96,4.63,7.34,10.33,11.13,11.9,13.43,15.58,17.15,17.98,20.62
"obesity",34,7.9558,4.84,1.1471,7.4322,-3.17,-1.2,-0.57,0.63,2.33,3.57,4.21,4.9,7.69,10.77,11.6,12.38,13.94,16.13,17.71,18.53,21.15
"obesity",35,8.305,4.9393,1.1518,8.0695,-2.97,-1.02,-0.39,0.81,2.53,3.79,4.45,5.15,8.03,11.21,12.06,12.86,14.46,16.68,18.27,19.09,21.7
"obesity",36,8.6477,5.0445,1.1567,8.7836,-2.79,-0.85,-0.23,0.98,2.72,4.01,4.67,5.39,8.36,11.64,12.51,13.34,14.98,17.23,18.83,19.66,22.25
"obesity",37,8.9826,5.1553,1.1618,9.5846,-2.63,-0.7,-0.08,1.14,2.89,4.21,4.89,5.63,8.68,12.07,12.97,13.82,15.49,17.78,19.4,20.23,22.82
"obesity",38,9.3084,5.2715,1.1669,10.4836,-2.48,-0.57,0.05,1.28,3.05,4.39,5.09,5.85,9,12.49,13.41,14.29,16,18.33,19.96,20.8,23.39
"obesity",39,9.6244,5.3925,1.1721,11.4933,-2.36,-0.46,0.17,1.4,3.2,4.57,5.28,6.06,9.3,12.9,13.85,14.75,16.5,18.87,20.53,21.37,23.97
"obesity",40,9.9324,5.5181,1.1774,12.6268,-2.26,-0.36,0.27,1.51,3.34,4.73,5.47,6.26,9.6,13.31,14.29,15.21,17,19.42,21.1,21.95,24.55
"obesity",41,10.235,5.6476,1.1828,13.8983,-2.17,-0.27,0.36,1.62,3.47,4.89,5.64,6.46,9.89,13.71,14.72,15.66,17.5,19.97,21.67,22.53,25.14
"obesityclassI",8,0.4954,2.8285,1.3778,2.1681,-2.65,-1.77,-1.55,-1.18,-0.77,-0.52,-0.4,-0.28,0.23,0.93,1.15,1.38,1.92,2.89,3.79,4.34,6.54
"obesityclassI",9,0.5995,2.8711,1.3732,2.1991,-2.83,-1.88,-1.64,-1.23,-0.78,-0.51,-0.38,-0.25,0.32,1.08,1.32,1.58,2.16,3.21,4.18,4.77,7.12
